Name,Measurements,Date of Birth,Hair color,Height,Weight
Ally Ann,34B-28-36,8/14/1990,,5-9,126
Ally Breelsen,35A-25-37,3/16/1994,,5-11,110
Ally Cox,,,,,
Ally Evans,32C-24-34,1/1/1994,,5-7,99
Ally Kay,34A-25-38,2/9/1991,,5-9,121
Ally Styles,,12/29/1988,,,
Ally Winters,34B-23-35,6/27/1994,,5-3,121
Allysa Andrews,,,,5-6,207
Allysin Chaynes,34C-23-32,2/11/1979,Blonde,5-1,94
Allysin Embers,,,,,
Allysin Wonderland,34B-24-35,,,5-9,115
Allyson Wonder,,,,,
Allyssa Hall,34B-22-33,4/27/1988,,5-1,119
Alma Banks,,,,,
Alma Blue,34B-24-36,3/6/1987,,5-2,128
Alma Deluxe,34B-24-35,,,5-9,110
Alonna Red,36D-25-36,9/5/1990,,5-7,126
Alora Jaymes,34DD-26-36,9/28/1988,,5-6,128
Aloura Lynn,32B-23-36,,,5-4,106
Alsana Sin,36C-28-38,4/23/1984,,5-10,130
Alura Jenson,36I-29-42,5/31/1977,,5-5,165
Aly Berk,34C-26-37,5/27/1990,,5-10,119
Aly Sinclair,,10/31/1984,,,
Alyiah Stone,35D-24-35,10/14/1982,,5-11,115
Alysa Gap,,7/27/1982,,,
Alysha Laine,,,,,
Alysha Leigh,32A-24-34,8/30/1981,,5-11,110
Alysha Rylee,34D-24-35,5/15/1991,,5-0,130
Alysin Ember,,,,,
Alyson Galen,,,,4-8,181
Alyson Mckenzie,38DD-26-34,1/12/1974,,5-9,119
Alyson Ray,34C-25-35,10/28/1984,,5-2,110
Alyson Sykes,,,,,
Alyson Westley,34C-26-35,6/12/1987,,5-4,130
Alyssa Allure,33B-22-33,5/24/1972,Brown/Red,5-4,No data
Alyssa Alps,56FF-25-35,12/6/1969,Blonde,5-4,No data
Alyssa Branch,34A-25-37,2/17/1992,,5-6,121
Alyssa Chase,34C-24-34,10/30/1980,Blonde,4-10,No data
Alyssa Dior,36B-29-39,2/23/1987,,5-10,150
Alyssa Divine,30F-26-32,10/13/1990,,5-4,106
Alyssa Dutch,33B-24-33,,,5-3,115
Alyssa Haven,34B-22-30,4/27/1980,Blonde,5-7,No data
Alyssa Jersey,,,,,
Alyssa Jordan,32D-26-34,7/30/1988,,5-1,126
Alyssa Knight,34C-24-34,8/2/1980,,5-9,106
Alyssa Lewis,34DD-28-32,,,5-2,121
Alyssa Love,36C-24-36,6/25/1976,Brown,5-6,110
Alyssa Lovelace,34C-23-34,????-03-27,Blonde,5-3,105
Alyssa Lynn,32F-25-36,4/30/1980,,5-4,110
Alyssa Reece,34B-25-34,5/3/1985,,5-7,110
Alyssa Rockwell,,,,,
Alyssa Star,,,,,
Alyssa Taylor,,,,,
Alyssa West,36DD,11/3/1975,Red/Bleached,5-2,127
Alyssia Loop,34C-25-36,11/23/1988,,5-7,121
Alysson Moore,34B-28-38,9/20/1979,,5-4,110
Amabella,34D-24-36,6/19/1991,,5-0,119
Amadea Emily,,,,,
Amai Liu,32A-23-33,2/14/1990,,4-3,75
Amanda Baby,34B-24-34,,,5-2,110
Amanda Bell,36B-31-37,4/25/1991,,5-0,135
Amanda Black,35D-24-35,5/20/1991,,5-4,115
Amanda Blake,34B-24-32,2/11/1987,,5-6,108
Amanda Blow,34B-24-34,4/25/1975,,5-9,115
Amanda Blue,34C-24-34,12/4/1985,,5-1,99
Amanda Bryant,34C-24-36,8/25/1990,,5-5,108
Amanda Copper,34B-25-36,9/16/1986,,5-0,
Amanda Da Silva,,,,,
Amanda Duncan,,,,,
Amanda Edge,,4/14/1988,,5-7,112
Amanda Emino,34D-,No data,Brown,5-8,121
Amanda King,34C-26-31,,,5-4,121
Amanda Lane,34C-24-34,1/24/1995,,5-3,130
Amanda Lee,,,,,
Amanda Lexx,,,,,
Amanda Lynn,,3/2/1983,,5-9,108
Amanda Paige,,,,,
Amanda Rain,34C-,1980-??-??,Brown,5-11,129
Amanda Roberts,,,,,
Amanda Tate,32B-29-34,11/7/1990,,5-5,126
Amanda Twice,,,,,
